_id,name,category,style,color,price,description,available,stock,isDeleted,image
681a5a8a65e1b2ec71413439,Industrial Gray Living Room #16,living room,industrial,gray,4033.47,Elegant design meets practical use.,true,17,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343a,Minimal Wood Bedroom #15,bedroom,minimal,wood,3439.73,Blends contemporary aesthetics with everyday functionality.,true,15,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343b,Modern Gray Kitchen #13,kitchen,modern,gray,1000.19,Elegant design meets practical use.,true,18,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343c,Boho Gray Living Room #16,living room,boho,gray,4333.22,Blends contemporary aesthetics with everyday functionality.,true,4,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343d,Modern White Bathroom #15,bathroom,modern,white,1639.32,Crafted with premium materials and designed for durability.,true,1,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343e,Industrial Cream Kitchen #17,kitchen,industrial,cream,3011.54,Elegant design meets practical use.,true,3,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141343f,Minimal Blue Living Room #9,living room,minimal,blue,3751.37,Perfect for small spaces or open layouts.,true,2,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413440,Modern Cream Living Room #16,living room,modern,cream,797.9,A stylish and comfortable addition to any modern home.,true,18,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413441,Boho Wood Bedroom #13,bedroom,boho,wood,2919.92,Crafted with premium materials and designed for durability.,true,7,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413442,Minimal Black Kitchen #13,kitchen,minimal,black,3764.29,Crafted with premium materials and designed for durability.,true,8,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413443,Boho Black Kitchen #13,kitchen,boho,black,3792.66,A stylish and comfortable addition to any modern home.,true,14,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413444,Industrial Cream Living Room #10,living room,industrial,cream,4292.11,Blends contemporary aesthetics with everyday functionality.,true,10,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413445,Modern Beige Child Bedroom #21,child bedroom,modern,beige,594.73,Perfect for small spaces or open layouts.,true,4,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413446,Boho Cream Living Room #12,living room,boho,cream,1074.43,Perfect for small spaces or open layouts.,true,7,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413447,Modern Gray Bedroom #10,bedroom,modern,gray,3621.61,A stylish and comfortable addition to any modern home.,true,19,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413448,Classic Blue Kitchen #15,kitchen,classic,blue,921.43,Elegant design meets practical use.,true,14,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413449,Classic Black Child Bedroom #12,child bedroom,classic,black,4906.63,Crafted with premium materials and designed for durability.,true,17,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344a,Minimal White Living Room #15,living room,minimal,white,3970.83,Crafted with premium materials and designed for durability.,true,14,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344b,Industrial Black Bedroom #6,bedroom,industrial,black,2609.92,Blends contemporary aesthetics with everyday functionality.,true,11,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344c,Industrial Beige Bedroom #10,bedroom,industrial,beige,3374.3,Elegant design meets practical use.,true,11,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344d,Boho Beige Kitchen #11,kitchen,boho,beige,1712.45,Perfect for small spaces or open layouts.,true,20,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344e,Classic White Kitchen #6,kitchen,classic,white,4304.03,Crafted with premium materials and designed for durability.,true,9,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec7141344f,Minimal Cream Kitchen #14,kitchen,minimal,cream,3433.65,Crafted with premium materials and designed for durability.,true,18,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
681a5a8a65e1b2ec71413450,Industrial White Living Room #7,living room,industrial,white,4592.9,Crafted with premium materials and designed for durability.,true,19,false,https://dummyimage.com/600x400/2c2c2c/ffffff&text=SmartSpace+Product
